3007421609 = Verdict: Solved ; Iters: 1430820 ; Length: 151
3007422398 = Verdict: Unsolved ; Iters: 6081675 ; Length: -1
3007460416 = Verdict: Unsolved ; Iters: 449756 ; Length: -1
3007495145 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3007508583 = Verdict: Solved ; Iters: 300668 ; Length: 138
3007629177 = Verdict: Unsolved ; Iters: 9539504 ; Length: -1
3007698721 = Verdict: Solved ; Iters: 276302 ; Length: 121
3007883411 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3007936473 = Verdict: Solved ; Iters: 911538 ; Length: 136
3007947908 = Verdict: Solved ; Iters: 2398900 ; Length: 171
3008062407 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3008063321 = Verdict: Unsolved ; Iters: 9840523 ; Length: -1
3008083144 = Verdict: Unsolved ; Iters: 6011693 ; Length: -1
3008133904 = Verdict: Unsolved ; Iters: 854463 ; Length: -1
3008144578 = Verdict: Unsolved ; Iters: 1191351 ; Length: -1
3008263852 = Verdict: Solved ; Iters: 73208 ; Length: 155
3008286249 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3008380514 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3008407881 = Verdict: Solved ; Iters: 207920 ; Length: 158
3008418452 = Verdict: Solved ; Iters: 86306 ; Length: 124
3008633173 = Verdict: Unsolved ; Iters: 12327875 ; Length: -1
3008696669 = Verdict: Unsolved ; Iters: 1031797 ; Length: -1
3008717260 = Verdict: Unsolved ; Iters: 7277463 ; Length: -1
3008739278 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3008856180 = Verdict: Unsolved ; Iters: 7782536 ; Length: -1
3008918224 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3008940501 = Verdict: Unsolved ; Iters: 227096 ; Length: -1
3008952409 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3008965316 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3009073539 = Verdict: Unsolved ; Iters: 115936 ; Length: -1
3009098174 = Verdict: Solved ; Iters: 6250394 ; Length: 124
3009127330 = Verdict: Solved ; Iters: 854324 ; Length: 132
3009155891 = Verdict: Unsolved ; Iters: 737742 ; Length: -1
3009156877 = Verdict: Unsolved ; Iters: 259128 ; Length: -1
3009244122 = Verdict: Unsolved ; Iters: 1227635 ; Length: -1
3009252787 = Verdict: Unsolved ; Iters: 2456005 ; Length: -1
3009280720 = Verdict: Solved ; Iters: 895113 ; Length: 120
3009290686 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3009311625 = Verdict: Unsolved ; Iters: 7211128 ; Length: -1
3009341693 = Verdict: Solved ; Iters: 1280418 ; Length: 137
3009417583 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3009430667 = Verdict: Solved ; Iters: 6465581 ; Length: 120
3009642343 = Verdict: Unsolved ; Iters: 68093 ; Length: -1
3009882939 = Verdict: Unsolved ; Iters: 931554 ; Length: -1
3009886332 = Verdict: Solved ; Iters: 867628 ; Length: 131
3010203778 = Verdict: Unsolved ; Iters: 10369564 ; Length: -1
3010222081 = Verdict: Solved ; Iters: 3052 ; Length: 125
3010288845 = Verdict: Solved ; Iters: 2237255 ; Length: 132
3010512086 = Verdict: Unsolved ; Iters: 1600806 ; Length: -1
3010580994 = Verdict: Unsolved ; Iters: 6514562 ; Length: -1
3010617625 = Verdict: Solved ; Iters: 176967 ; Length: 130
3010653959 = Verdict: Solved ; Iters: 8995826 ; Length: 129
3010717870 = Verdict: Unsolved ; Iters: 3821109 ; Length: -1
3010914501 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3010918972 = Verdict: Unsolved ; Iters: 735826 ; Length: -1
3011049255 = Verdict: Unsolved ; Iters: 4198990 ; Length: -1
3011051960 = Verdict: Solved ; Iters: 679362 ; Length: 127
3011095543 = Verdict: Solved ; Iters: 970095 ; Length: 138
3011114944 = Verdict: Solved ; Iters: 30398 ; Length: 125
3011149869 = Verdict: Solved ; Iters: 2177194 ; Length: 120
3011159735 = Verdict: Unsolved ; Iters: 6008569 ; Length: -1
3011162559 = Verdict: Unsolved ; Iters: 2921579 ; Length: -1
3011204887 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3011377174 = Verdict: Solved ; Iters: 198803 ; Length: 118
3011658465 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3011675307 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3011768938 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3011848333 = Verdict: Unsolved ; Iters: 9888852 ; Length: -1
3011883544 = Verdict: Solved ; Iters: 545782 ; Length: 159
3011943110 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3011957409 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3012034238 = Verdict: Unsolved ; Iters: 851726 ; Length: -1
