4476188570 = Verdict: Unsolved ; Iters: 263662 ; Length: -1
4476213723 = Verdict: Solved ; Iters: 561522 ; Length: 134
4476274376 = Verdict: Unsolved ; Iters: 694916 ; Length: -1
4476277342 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4476335677 = Verdict: Solved ; Iters: 4972871 ; Length: 128
4476513620 = Verdict: Unsolved ; Iters: 12491121 ; Length: -1
4476567198 = Verdict: Unsolved ; Iters: 6383744 ; Length: -1
4476607965 = Verdict: Solved ; Iters: 1570794 ; Length: 123
4476692419 = Verdict: Solved ; Iters: 3717909 ; Length: 137
4476746689 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4476788711 = Verdict: Solved ; Iters: 174553 ; Length: 122
4476795849 = Verdict: Solved ; Iters: 1479826 ; Length: 124
4476828165 = Verdict: Unsolved ; Iters: 5186808 ; Length: -1
4476834133 = Verdict: Unsolved ; Iters: 3068677 ; Length: -1
4476854320 = Verdict: Solved ; Iters: 20422 ; Length: 127
4476864666 = Verdict: Solved ; Iters: 535792 ; Length: 125
4476919609 = Verdict: Solved ; Iters: 1678330 ; Length: 136
4476957906 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4476976091 = Verdict: Unsolved ; Iters: 127339 ; Length: -1
4476992489 = Verdict: Unsolved ; Iters: 3486044 ; Length: -1
4476999193 = Verdict: Solved ; Iters: 382153 ; Length: 150
4477008431 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4477065259 = Verdict: Unsolved ; Iters: 3814373 ; Length: -1
4477089488 = Verdict: Unsolved ; Iters: 6403196 ; Length: -1
4477119631 = Verdict: Solved ; Iters: 1210380 ; Length: 126
4477131253 = Verdict: Solved ; Iters: 3659561 ; Length: 120
4477140975 = Verdict: Solved ; Iters: 2515100 ; Length: 152
4477181159 = Verdict: Solved ; Iters: 1946006 ; Length: 135
4477201685 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4477228651 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4477283047 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4477463424 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4477596490 = Verdict: Solved ; Iters: 1710293 ; Length: 121
4477658187 = Verdict: Solved ; Iters: 337358 ; Length: 125
4477684025 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4477701803 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4477716993 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4477889894 = Verdict: Solved ; Iters: 90110 ; Length: 130
4477907065 = Verdict: Unsolved ; Iters: 6827901 ; Length: -1
4477917962 = Verdict: Unsolved ; Iters: 5213493 ; Length: -1
4477945069 = Verdict: Unsolved ; Iters: 3679522 ; Length: -1
4477951515 = Verdict: Unsolved ; Iters: 9139103 ; Length: -1
4478079915 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4478104266 = Verdict: Unsolved ; Iters: 11668410 ; Length: -1
4478166643 = Verdict: Unsolved ; Iters: 6929150 ; Length: -1
4478268693 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4478308747 = Verdict: Unsolved ; Iters: 6019964 ; Length: -1
4478460850 = Verdict: Solved ; Iters: 842937 ; Length: 138
4478470659 = Verdict: Solved ; Iters: 282255 ; Length: 113
4478534968 = Verdict: Solved ; Iters: 8857612 ; Length: 136
4478631288 = Verdict: Solved ; Iters: 2833780 ; Length: 96
4478643628 = Verdict: Unsolved ; Iters: 623854 ; Length: -1
4478681735 = Verdict: Unsolved ; Iters: 621447 ; Length: -1
4478693167 = Verdict: Solved ; Iters: 1350088 ; Length: 133
4478764153 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4478809713 = Verdict: Solved ; Iters: 86286 ; Length: 118
4478955035 = Verdict: Unsolved ; Iters: 9096289 ; Length: -1
4478990039 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4479081788 = Verdict: Unsolved ; Iters: 4505020 ; Length: -1
4479093289 = Verdict: Solved ; Iters: 383151 ; Length: 107
4479143379 = Verdict: Solved ; Iters: 886013 ; Length: 123
4479178689 = Verdict: Solved ; Iters: 643802 ; Length: 117
4479254939 = Verdict: Solved ; Iters: 1167514 ; Length: 123
4479266412 = Verdict: Solved ; Iters: 9363 ; Length: 126
4479286031 = Verdict: Solved ; Iters: 814504 ; Length: 115
4479292726 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4479305747 = Verdict: Solved ; Iters: 2129417 ; Length: 192
4479434882 = Verdict: Solved ; Iters: 171560 ; Length: 143
4479484778 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4479554037 = Verdict: Solved ; Iters: 7455 ; Length: 126
4479628485 = Verdict: Solved ; Iters: 642342 ; Length: 146
4479725169 = Verdict: Solved ; Iters: 543195 ; Length: 127
4479773001 = Verdict: Solved ; Iters: 267764 ; Length: 133
4479819320 = Verdict: Solved ; Iters: 24015 ; Length: 100
4479841257 = Verdict: Unsolved ; Iters: 11165519 ; Length: -1
4479985349 = Verdict: Solved ; Iters: 692459 ; Length: 130
4480034907 = Verdict: Unsolved ; Iters: 11317406 ; Length: -1
4480040585 = Verdict: Unsolved ; Iters: 2689068 ; Length: -1
4480049764 = Verdict: Unsolved ; Iters: 3799272 ; Length: -1
4480085781 = Verdict: Solved ; Iters: 442176 ; Length: 145
4480114373 = Verdict: Unsolved ; Iters: 3744732 ; Length: -1
4480115086 = Verdict: Unsolved ; Iters: 8487325 ; Length: -1
4480152032 = Verdict: Solved ; Iters: 7646594 ; Length: 155
4480188722 = Verdict: Solved ; Iters: 3630433 ; Length: 140
4480230296 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4480268089 = Verdict: Solved ; Iters: 489226 ; Length: 137
4480281246 = Verdict: Solved ; Iters: 138994 ; Length: 122
4480371293 = Verdict: Solved ; Iters: 4500439 ; Length: 109
4480391056 = Verdict: Unsolved ; Iters: 7084721 ; Length: -1
4480439558 = Verdict: Unsolved ; Iters: 11885297 ; Length: -1
4480463168 = Verdict: Solved ; Iters: 2580753 ; Length: 153
4480488547 = Verdict: Unsolved ; Iters: 10597702 ; Length: -1
4480772805 = Verdict: Solved ; Iters: 12813803 ; Length: 106
4480796710 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4480802376 = Verdict: Unsolved ; Iters: 589870 ; Length: -1
4480856918 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4480901246 = Verdict: Unsolved ; Iters: 10943436 ; Length: -1
4480997693 = Verdict: Solved ; Iters: 9142886 ; Length: 166
4481107389 = Verdict: Solved ; Iters: 9902031 ; Length: 126
4481185246 = Verdict: Solved ; Iters: 2420049 ; Length: 131
4481230511 = Verdict: Solved ; Iters: 76926 ; Length: 151
4481361277 = Verdict: Solved ; Iters: 17223 ; Length: 106
4481407586 = Verdict: Unsolved ; Iters: 4519544 ; Length: -1
4481427803 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4481487311 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4481521025 = Verdict: Unsolved ; Iters: 8020978 ; Length: -1
4481610155 = Verdict: Solved ; Iters: 14283 ; Length: 134
4481611671 = Verdict: Solved ; Iters: 204555 ; Length: 146
4481700306 = Verdict: Unsolved ; Iters: 1478981 ; Length: -1
4481711015 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4481751352 = Verdict: Unsolved ; Iters: 9400730 ; Length: -1
4481790002 = Verdict: Solved ; Iters: 21410 ; Length: 145
4481879841 = Verdict: Solved ; Iters: 1039877 ; Length: 120
4481924638 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
