2016492852 = Verdict: Unsolved ; Iters: 1351571 ; Length: -1
2016506111 = Verdict: Unsolved ; Iters: 1723057 ; Length: -1
2016517282 = Verdict: Solved ; Iters: 993785 ; Length: 115
2016549765 = Verdict: Solved ; Iters: 492803 ; Length: 152
2016680217 = Verdict: Unsolved ; Iters: 6863903 ; Length: -1
2016718601 = Verdict: Unsolved ; Iters: 5381739 ; Length: -1
2016744945 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2016830753 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2016867988 = Verdict: Unsolved ; Iters: 2989434 ; Length: -1
2016892093 = Verdict: Unsolved ; Iters: 2907469 ; Length: -1
2016899710 = Verdict: Unsolved ; Iters: 9670147 ; Length: -1
2016918757 = Verdict: Solved ; Iters: 48669 ; Length: 135
2017096462 = Verdict: Unsolved ; Iters: 3212236 ; Length: -1
2017151242 = Verdict: Unsolved ; Iters: 7899285 ; Length: -1
2017171892 = Verdict: Solved ; Iters: 2422791 ; Length: 143
2017230843 = Verdict: Unsolved ; Iters: 6241666 ; Length: -1
2017273058 = Verdict: Solved ; Iters: 27988 ; Length: 131
2017274480 = Verdict: Unsolved ; Iters: 6666069 ; Length: -1
2017284782 = Verdict: Unsolved ; Iters: 11087116 ; Length: -1
2017290682 = Verdict: Unsolved ; Iters: 1114307 ; Length: -1
2017297003 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2017335696 = Verdict: Unsolved ; Iters: 1752523 ; Length: -1
2017335877 = Verdict: Unsolved ; Iters: 1171004 ; Length: -1
2017393331 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2017575040 = Verdict: Unsolved ; Iters: 1799172 ; Length: -1
2017616183 = Verdict: Unsolved ; Iters: 4013110 ; Length: -1
2017656040 = Verdict: Solved ; Iters: 597020 ; Length: 133
2017683444 = Verdict: Solved ; Iters: 10813 ; Length: 112
2017886065 = Verdict: Unsolved ; Iters: 5644 ; Length: -1
2017901169 = Verdict: Unsolved ; Iters: 1476385 ; Length: -1
2017904673 = Verdict: Solved ; Iters: 2360183 ; Length: 137
2017995668 = Verdict: Unsolved ; Iters: 9006465 ; Length: -1
2018056184 = Verdict: Unsolved ; Iters: 11904918 ; Length: -1
2018209130 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2018236514 = Verdict: Solved ; Iters: 5080045 ; Length: 118
2018269295 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2018281738 = Verdict: Solved ; Iters: 1453862 ; Length: 130
2018324141 = Verdict: Unsolved ; Iters: 6128400 ; Length: -1
2018338287 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2018343771 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2018360179 = Verdict: Unsolved ; Iters: 5172651 ; Length: -1
2018448727 = Verdict: Solved ; Iters: 12218513 ; Length: 273
2018485776 = Verdict: Solved ; Iters: 11410971 ; Length: 120
2018558577 = Verdict: Solved ; Iters: 523469 ; Length: 132
2018579316 = Verdict: Unsolved ; Iters: 2910984 ; Length: -1
