20381719 = Verdict: Unsolved ; Iters: 2702089 ; Length: -1
20444668 = Verdict: Solved ; Iters: 2127533 ; Length: 139
20459686 = Verdict: Solved ; Iters: 2121842 ; Length: 140
20521023 = Verdict: Solved ; Iters: 3003697 ; Length: 119
20551355 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
20551923 = Verdict: Unsolved ; Iters: 1161373 ; Length: -1
20615656 = Verdict: Unsolved ; Iters: 6998151 ; Length: -1
20656218 = Verdict: Unsolved ; Iters: 20674 ; Length: -1
20662150 = Verdict: Solved ; Iters: 174486 ; Length: 128
20826211 = Verdict: Solved ; Iters: 6859055 ; Length: 132
20847813 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
20869425 = Verdict: Solved ; Iters: 736316 ; Length: 143
20874293 = Verdict: Unsolved ; Iters: 3422546 ; Length: -1
20932252 = Verdict: Solved ; Iters: 319804 ; Length: 133
20947073 = Verdict: Unsolved ; Iters: 11212490 ; Length: -1
21008901 = Verdict: Unsolved ; Iters: 5223409 ; Length: -1
21016800 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
21025794 = Verdict: Unsolved ; Iters: 2482979 ; Length: -1
21041914 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
21078750 = Verdict: Unsolved ; Iters: 9066850 ; Length: -1
21104893 = Verdict: Unsolved ; Iters: 592816 ; Length: -1
21135997 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
21146940 = Verdict: Unsolved ; Iters: 44453 ; Length: -1
21221844 = Verdict: Solved ; Iters: 41083 ; Length: 131
21260932 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
21291635 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
21365899 = Verdict: Unsolved ; Iters: 318971 ; Length: -1
21480204 = Verdict: Solved ; Iters: 592955 ; Length: 120
21519501 = Verdict: Unsolved ; Iters: 1756768 ; Length: -1
21693130 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
21718748 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
21722072 = Verdict: Unsolved ; Iters: 3890663 ; Length: -1
21780751 = Verdict: Unsolved ; Iters: 10645956 ; Length: -1
21818822 = Verdict: Solved ; Iters: 426498 ; Length: 125
21925214 = Verdict: Unsolved ; Iters: 3997417 ; Length: -1
21928766 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
21942885 = Verdict: Unsolved ; Iters: 4684361 ; Length: -1
21947116 = Verdict: Unsolved ; Iters: 1266795 ; Length: -1
22008909 = Verdict: Unsolved ; Iters: 4225891 ; Length: -1
22032805 = Verdict: Solved ; Iters: 786521 ; Length: 131
22089406 = Verdict: Unsolved ; Iters: 2464280 ; Length: -1
22097988 = Verdict: Solved ; Iters: 1545 ; Length: 109
22141322 = Verdict: Solved ; Iters: 308797 ; Length: 115
22189818 = Verdict: Solved ; Iters: 1136434 ; Length: 119
22215641 = Verdict: Solved ; Iters: 11037408 ; Length: 121
22281005 = Verdict: Solved ; Iters: 5792363 ; Length: 116
22310086 = Verdict: Solved ; Iters: 273745 ; Length: 100
22323430 = Verdict: Unsolved ; Iters: 58862 ; Length: -1
22329562 = Verdict: Unsolved ; Iters: 11668394 ; Length: -1
22356260 = Verdict: Solved ; Iters: 94155 ; Length: 118
22388882 = Verdict: Unsolved ; Iters: 1941738 ; Length: -1
22419059 = Verdict: Solved ; Iters: 3772994 ; Length: 137
22428285 = Verdict: Solved ; Iters: 2598 ; Length: 135
